Date,Mysore,Kodagu,Mandya,Hassan
17-Oct-12,0.03,0.14,0.09,0
18-Oct-12,0,0.19,0,0
19-Oct-12,0,0,0,0
20-Oct-12,3.97,7.01,6.69,3.27
21-Oct-12,1.56,5.81,1.24,2.53
22-Oct-12,2.09,4.27,0.7,0.93
23-Oct-12,0.48,5.34,0.06,0.32
24-Oct-12,0,0,0.12,0
25-Oct-12,0,0,0,0
26-Oct-12,0.04,0.07,0.04,0.69
27-Oct-12,0.4,0.37,0,0
28-Oct-12,0,0,0,0
29-Oct-12,0,0,0,0
30-Oct-12,4.5,0.55,10.9,1.56
31-Oct-12,0.43,0.05,0.72,0.01
01-Nov-12,42.03,22.7,53.46,22.4
02-Nov-12,7.59,46.12,5.8,21.96
03-Nov-12,1.33,10.67,0.75,1.03
04-Nov-12,0.22,1.71,0.8,0.51
05-Nov-12,5.03,47.27,0.33,4.76
06-Nov-12,0,0.56,0.07,4.18
07-Nov-12,0,0,0,0
08-Nov-12,0,0.01,0,0
09-Nov-12,0,0.05,0,0.48
10-Nov-12,0,0,0,0
11-Nov-12,0.08,0.08,0,0
12-Nov-12,0,0,0,0
13-Nov-12,0.54,1.44,0,0
14-Nov-12,0,0,0,0
15-Nov-12,0,0,0,0
16-Nov-12,0,0,0,0
17-Nov-12,0,0,0,0
18-Nov-12,0,0,0,0
